In Module,For Class,Method,Instance ID,Descendants,Descendant Methods IDs
Time Core,Organization Type,Organization Type@is Valid Time Tracking Reporting Organization Type(EBE),24$36141,"Common Boolean@is Organization Type for a Custom Organization(EC)*P*S(public)[ramb]+PA

Organization Type@is Organization Creation Type Active or missing(EBE)*P[ramb]+PA

Organization Type@is Organization Creation Type eq Pay Group(EBE)*P[ramb]+PA

Organization Type@is Organization Type parm Supervisory(EBE)*P*S(public)[ramb]+PA","94$7297,65$3,24$917,2663$51126,40$1750,24$11180,19$44398,24$223"
Time Core,Time Off Entry,Time Off Entry@is Additional Re-evaluation Required from Micro Edit(EBE)*P*S,24$36162,"Coordinated Time Off Type@get Coordinated Time Off Type for Processing Instance(GRS)*P*S(public)[rsmb]+PA

Coordinated Time Off Type@get Coordinated Time Off Type from Time Off Entry (Derived) parm(GRS)*P*S(public)[rsmb]+PA

Time Off Entry@get Absence Table for Time Off Entry (Derived) [Singular] parm(IOP)*P*S(public)[rsmb]+PA

Time Off Entry@get Time Off Hours for Processing Instance(GRA)*P*S(public)[ramb]+PA

Time Off Entry@get Time Off Hours for Time Off Entry (Derived) [Singular](GRA)*P*S(public)[ramb]+PA","2663$80802,18$11716,26$89678"
Time Core,Time Type,Time Type@is Blocked by Future Date Restriction(EBE)*P,24$36417,"Common Boolean@is Date in Future(EBE)*P*S(public)[ramb]+???+PA

Common Boolean@is Start Date in Future(EBE)*P*S(public)[ramb]+???+PA

Time Type@has Restrict Future Time Entry Enabled(GAS)(public)[ramb]","66$2928,24$29666,52$29863,52$29864,52$29865,66$14249"
Time Core,Calculated Time Block Container (Derived),Calculated Time Block Container (Derived)@is First Active Day and Last Day of the Date Range Locked for Worker(EBE)*P*S,24$36441,"Calculated Time Block Container (Derived)@is First Active day in WSC Date Range Locked(EBE)*P*S(public)[ramb]+PA+DT

Calculated Time Block Container (Derived)@is WSC Date Range End Date Locked(EBE)*P*S(public)[ramb]+PA+DT","92$898,52$20035,24$10805"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@is Date In Future AND is Time Type Restricted OR is Default TEC Restricted(EBE)*P,24$36561,"Common Boolean@is Time Block Date greater than User Current Date(EBE)*P*S(public)[ramb]+PA

Worker Coordinated Time Block@does Time Entry Code Restrict Entry in Future(GRA)[ramb]

Worker Coordinated Time Block@does Time Type Restrict Entry in Future(GRA)[ramb]","66$2928,24$29666,18$89125,18$89126"
Time Core,Instance Iterator,Instance Iterator@is Actual Instance Iterators Set Equals Expected(EBE)*P*S,24$36596,"Instance Iterator@build Instance Iterators Set for WATS(BE)*P*S[remb]+PA

Instance Iterator@build Instance Iterators Set for WATS(BE)*P*S[remb]+PA",29$103132
Time Core,Worker Time Block,Worker Time Block@is modified between moment range and has empty status and current OR previous mapped earnings(EBE)*P,24$36657,"Instance@get Audit Entries for Instance Data and Moment Range excluding Effective Delete Entries(SS)*P(public)[rsmb]+PA

Worker Time@get Worker Time.has processing status from Time Tracking Set Up Option(GR)

Worker Time Block@get Earnings Mapped to Time Calculation Tags for Worker Time Block (for Payroll Processing, thru Snapshot)(IOP)[rsmb]

Worker Time Block@get Earnings Mapped to Time Calculation Tags for Worker Time Block with Previous Moment(IOP)[rsmb]+TM","2663$22470,207$26763,19$29086"
Time Core,Worker Time Block,Worker Time Block@assigns Worker Time Block.participates in approval for Time Review Event-Time Review Event(AR),25$3704,,
Time Core,Worker Time,Worker Time@assigns Worker Time.has securing Organization-Worker Time@get Supervisory Organization for Worker Time(GRS)[rsmb]+DT(AR),25$3906,Worker Time@get Supervisory Organization for Worker Time(GRS)[rsmb]+DT,"52$13137,92$898,66$4738,26$42100,52$9630,52$9631"
Time Core,Worker Time Block,Worker Time Block@assigns Worker Time Block.participates in approval for Time Review Event-Worker Time Block@get TRE Considering Project and Position Change On WTB In Progress(SSC)[rsmb](AR),25$3968,Worker Time Block@get TRE Considering Project and Position Change On WTB In Progress(SSC)[rsmb],13039$4662
Time Core,Time Off Entry,Time Off Entry@assigns Time Off Entry.recorded by Time Off Event-Time Off Event(AR),25$4007,,
Time Core,Worker Time Block,Worker Time Block@assigns Worker Time Block.uses Time Clock Event-Time Clock Event [Singular](AR),25$6413,,
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@assigns Worker Coordinated Time Block.entry status Time Tracking Set Up Option-Time Tracking Set Up Option(AR)(public),25$6420,,
Time Core,Worker Time Block,Worker Time Block@assigns Remove Break Block Relationship-Worker Time Block@get Worker Time Block.has break block Worker Time Block(GR)(AR),25$6471,Worker Time Block@get Worker Time Block.has break block Worker Time Block(GR),"207$21241,13039$13310"
Time Core,Incomplete Worker Time Block,Incomplete Worker Time Block@assigns has securing Organization based on Time Block Date-Worker Time@get Supervisory Organization for Worker Time(GRS)[rsmb]+DT(AR),25$8996,Worker Time@get Supervisory Organization for Worker Time(GRS)[rsmb]+DT,"52$13137,92$898,66$4738,26$42100,52$9630,52$9631"
Time Core,Work Set,"Work Set@assigns ""Organization@is Valid Time Tracking Reporting Organization(EBE)"" to True Condition-Organization@get Valid Time Tracking Reporting Organization Method Binding(GSI)*S[rsmb](AR)",25$10422,Organization@get Valid Time Tracking Reporting Organization Method Binding(GSI)*S[rsmb],40$51557
Time Core,Worker,Worker@get Worker for Time Review Event parm(GRS)*P*S,26$33064,Worker Event@get Worker Event.applies to Worker(GR)(public)*O,"2663$13793,207$645,19$4537,19$62365,19$12141"
Time Core,Time Review Event,Time Review Event@get Time Review Event from Approval event that is Response Instance(GRS)*S,26$33231,"Approval Event@get processing instance Approval Event as Response Instance(GSS)*S[rsmb]

Event@get Action Event for Event(SS)*P[rsmb]","65$4882,19$6501"
Time Core,Period Schedule (Derived),Period Schedule (Derived)@get Period Schedule For Period Schedule (Derived)(GRS)*P*S,26$33506,Period Schedule (Derived)@get Period Schedule (Derived).derived from Period Schedule(GR),207$17817
Time Core,Period Schedule (Derived),Period Schedule (Derived)@get Workweek Start Day(GRS)*P*S,26$33564,Period Schedule (Derived)@get Period Schedule (Derived).work week begins on Day of the Week(GR),207$17860
Time Core,Worker Time Block,Worker Time Block@get Worker Calculated Time Blocks Generated By Reported Time Block(GRS)*P*S,26$34461,Worker Time Block@get Worker Time Blocks (Calculated) originating from Worker Time Block(SS)*P*S[rsmb]+PA,"65$3,19$46632"
Time Core,Time Review Event,Time Review Event@get Instances for Exception Evaluation with Exception(GRS),26$34626,Instance@get Instances for Exception Evaluation with Exception(SS)*P(public)[rsmb]+PA,"40$16065,26$52738,12$8899,65$3,66$3,12$8900,40$24452,19$125701,207$645,40$24453,2663$48774,40$24454,19$41868,2663$68111,12$25110,12$12695,19$46233,52$14171,24$26140,19$62365,2663$13793,2663$84641,19$7778,2663$59364,66$37,92$358,19$294,92$680,92$681,2663$6505,19$32106,19$42282,2663$6700,2663$72877,19$12141,40$12078,26$98675,40$12084,19$4537,19$130809,40$23805,40$23806"
Time Core,Worker Time Block,Worker Time Block@get Default Calculation Tag from Worker Time Block Time Entry Code(GRS),26$34856,"Time Entry Code@get Time Entry Code.has default Time Calculation Tag(GR)

Worker Time@get Time Entry Code(GR)","207$17572,13039$4906,207$18219"
Time Core,Time Calculation (Audited),Time Calculation (Audited)@get removes Time Calc Tag from Time Calculation parm(GRS)*P*S,26$34895,Time Calculation (Audited)@get Time Calculation (Audited).removes Time Calculation Tag(GR),207$18227
Time Core,Derived_WTB,Derived_WTB@get Derived Time Blocks from Calculated Time Block Container(GRS)*P*S,26$34978,Calculated Time Block Container (Derived)@get Calculated Time Block Container (Derived).has Derived_WTB(GR),207$17344
Time Core,Time Entry Code,Time Entry Code@get Codes from Active Time Code Groups for Worker and Date (Range)(GRS)*P*S,26$35466,"Time Code Group@get Active Time Code Groups for Worker through Eligibility(SS)*P*S[rsmb]+PA

Time Code Group@get Time Codes for Time Code Group(SS)[rsmb]","19$42177,393$3043,19$56773,19$43623"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@get Workers for Worker Coordinated Time Blocks from parm(GRS)*P*S(public),26$35612,Worker Coordinated Time Block@get Worker from Worker Coordinated Time Block(GSS)(public)[rsmb],"19$49200,19$49203,65$5583"
Time Core,Worker Time,Worker Time@get Out Type for Worker Time parameter(GRS)*P*S,26$35653,Worker Time@get Worker Time.out type Time Punch Type(GR),"207$18705,2663$34589"
Time Core,Worker Time Block,Worker Time Block@get Time Entry Code from Worker Time Block parm(GRS)*P*S,26$36149,Worker Time@get Time Entry Code(GR),"207$17572,13039$4906"
Time Core,Worker Time,Worker Time@get Effective Primary Position(GRS),26$36752,"Worker@get Effective Position for Primary Employment(GRS)(public)[rsmb]

Worker Time@get Worker Time.for Worker(GR)","207$16866,2663$37235,26$7095"
Time Core,Condition Rule,Condition Rule@get Time Tracking Eligibility Objects(GRS)(public),26$37191,"Condition Rule@get Time Tracking Eligibility Rule as Condition Rule Invocation Context for Condition Rule(SS)*P(public)[rsmb]+PA

Time Tracking Eligibility Rule@get Time Tracking Eligibility Rule.defines eligibility for Time Tracking Eligibility(GR)[rsmb]+???","19$72449,207$16962,19$133314,24$691,26$6883,40$24403,65$12,19$90607"
Time Core,Worker Time Block,Worker Time Block@get Time Calculation Tags from Time Block(GRS)*P*S,26$37311,Worker Time Block@get Worker Time Block.has Time Calculation Tag(GR),207$18920
Time Core,Worker Time Block,Worker Time Block@get Project from Worker Time Block parm(GRS)*P*S,26$38286,Worker Time@get Worker Time.has time type Project(GR),"207$17571,2663$37049"
Time Core,Worker Time Block,Worker Time Block@get Project Plan Task from Worker Time Block parm(GRS)*P*S,26$38288,Worker Time@get Worker Time.has time type Project Plan Task(GR),"207$17573,2663$37048"
Time Core,Worker Time Block,Worker Time Block@get Employment for Worker Time Block parm(GRS)*P*S(public),26$38744,Worker Time@get Worker Time.for Employment(GR),"2663$37237,207$20588"
Time Core,Derived_WTB,Derived_WTB@get Worker Time Blocks from Worker Time Day Based On Time Day Indicator(GRS)*P*S,26$38958,Worker Time Day (Derived)@get Worker Time Blocks from Worker Time Day Based On Time Day Indicator(SS)*P[rsmb],19$50371
Time Core,Worker Time Block,Worker Time Block@get Worker Time Block History as Derived WTB(GRS)*P*S,26$39014,Worker Time Block@build Time Block History Audit From Event(IOP)*P[rsmb]+???+PA,"66$3,207$17572,12$12455,66$7,12$13032,12$12456,2663$27400,207$18920,18$59113,13039$4906,2663$37236,207$28821,12$9402,12$11578,207$18203,12$8895"
Time Core,Time Tracking API Parameter (Derived),Time Tracking API Parameter (Derived)@get Worker from Time Tracking Parameter(GRS)*P*S,26$39490,Time Tracking API Parameter (Derived)@get Time Tracking API Parameter (Derived).has Worker(GR),207$21285
Time Core,Time Tracking API Parameter (Derived),Time Tracking API Parameter (Derived)@get Day Breaker 24 Hour for Worker Time Tracking Parameter (derived) parm(GRS)*P*S,26$39507,Time Tracking API Parameter (Derived)@get Time Tracking API Parameter (Derived).has a Day Breaker Twenty Four Hour Time(GR),207$21320
Time Core,Time Tracking API Parameter (Derived),Time Tracking API Parameter (Derived)@get Day Breaker Divider from Worker Time Tracking Parameter (derived) from parm(GRS)*P*S,26$39512,Time Tracking API Parameter (Derived)@get Time Tracking API Parameter (Derived).has a Day Breaker Divider(GR),207$21321
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@get Position from Employment persisted on the parameter instance(GRS)*P*S,26$40527,Worker Coordinated Time Block@get Position in Effect for Worker Time Employment as of Date (in PST)(IOP)*P[rsmb]+PA,"52$13137,66$4738,2663$7529,52$9630,52$9631"
Time Core,Worker Time Block Group,Worker Time Block Group@get Payroll Worktags for Worker Time Block Group parm(GRS)*P*S,26$40541,"Worker Time Block Group@get Worker Time Block Group.has Payroll Worktag(GR)

Worker Time Block Group@get Worker Time Block Group (singular) from Worker Time Block Group Workset(SS)*P*S[rsmb]","19$52321,207$21571"
Time Core,Worker Time Block Group,Worker Time Block Group@get Position for Worker Time Block Group parm(GRS)*P*S,26$40542,"Worker Time Block Group@get Worker Time Block Group.unique Position(GR)

Worker Time Block Group@get Worker Time Block Group (singular) from Worker Time Block Group Workset(SS)*P*S[rsmb]","207$21569,19$52321"
Time Core,Worker Time,Worker Time@get Project Plan Phase from Project Plan Task of Time Block(GRS),26$40573,"Project Plan Phase@get Project Plan Phase for Project Plan Task from This Instance(SS)*P*S(public)[rsmb]+PA

Worker Time@get Worker Time.has time type Project Plan Task(GR)","19$82483,65$3,207$17573,2663$37048,19$68299"
Time Core,Time Tracking API Parameter (Derived),Time Tracking API Parameter (Derived)@get Default Time Entry Code for Worker Time Tracking Parameter parm(GRS)*P*S,26$40694,Time Tracking API Parameter (Derived)@get Time Tracking API Parameter (Derived).has default Time Entry Code(GR),207$21771
Time Core,Time Review Event,Time Review Event@get Time Review Event from Approval event that is Response Instance(GRS)*S,26$41018,"Event Record@get Event for Event Record Part of Event(GRS)[rsmb]

Time Review Event@get Response Instance Event Record from Response Instance(GSS)*S[rsmb]","65$6006,26$3464"
Time Core,Time Off Entry (Derived),Time Off Entry (Derived)@get Time Off Entries (Derived) From Time Off Entries parm(GRS)*P*S,26$41310,,"52$22464,52$22465,65$3,66$24,26$113609,2663$9177,19$25165,19$103423"
Time Core,Worker Time,Worker Time@get Supervisory Organization for Worker Time(GRS),26$42100,"Position Element@get Effective Supervisory Organization(GSS)(public)[rsmb]

Worker Time@get Position from Instance OR from Primary Position on Time Block Date(SS)*O[rsmb]","19$2784,19$52498,19$22727,65$2698"
Time Core,Worker,Worker@get Worker for Worker Time Block parm(GRS)*P*S,26$43446,Worker Time@get Worker Time.for Worker(GR),"207$16866,2663$37235"
Time Core,Time Review Event,Time Review Event@get Role Enableds securing Event Target(GRS),26$43636,"Event Target@get Secured by Role Enabled(GRS)*P[rsmb]

Time Review Event@get Time Review Event.for Position(GR)","26$22053,19$74909,207$23310"
Time Core,Time Review Event,Time Review Event@get Position for Time Review Event(GRS)*P*S,26$43788,Time Review Event@get Time Review Event.for Position(GR),207$23310
Time Core,Worker Time Block Group,Worker Time Block Group@get Curreny Used For Override Rate On WTB(GRS)*P*S,26$43892,"Common Instance Set@get Instance from parm(SS)*P*S(public)[rsmb]+PA

Time Tracking Taggable@get Time Tracking Taggable.reported Currency(GR)","19$50642,207$23405"
Time Core,Worker Time Block Group,Worker Time Block Group@get Currency Reported on WTB For Corrections(GRS)*P*S,26$43894,"Worker Time Block Group@get Worker Time Block Group.reports Currency(GR)

Worker Time Block Group@get Worker Time Block Group (singular) from Worker Time Block Group Workset(SS)*P*S[rsmb]","19$52321,207$23491"
Time Core,Worker Time Block,Worker Time Block@get Worker Time Blocks For Shift(GRS)*P*S,26$43899,Derived_WTBV@get Derived_WTBV.validates Worker Time Block(GR),207$18797
Time Core,Time Tracking Taggable,Time Tracking Taggable@get Time Tags for Worker Time parm(GRS)*P*S,26$43940,Time Tracking Taggable@get Time Tags for Time Taggable(SS)(public)[rsmb],"26$80963,19$44759"
Time Core,Worker Time Block,Worker Time Block@get Time Entry Code for Worker Time parm(GRS)*P*S,26$43942,Worker Time@get Time Entry Code(GR),"207$17572,13039$4906"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@get Worker Coordinated Time Entry Code(GRS)*P*S,26$44206,Worker Coordinated Time Block@get Worker Coordinated Time Entry Code(GSS)[rsmb],"19$47595,65$5357"
Time Core,Worker Time Block Group,Worker Time Block Group@get Currency Used on Worker Time Block(GRS)*P*S,26$44220,Time Tracking Taggable@get Time Tracking Taggable.reported Currency(GR),207$23405
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@get Worker Coordinated Project(GRS)*P*S,26$44327,Worker Coordinated Time Block@get Worker Coordinated Project(GSS)[rsmb],"19$47597,65$5359"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@get Worker Coordinated Project Plan Task(GRS)*P*S,26$44328,Worker Coordinated Time Block@get Worker Coordinated Project Plan Task(GSS)[rsmb],"65$5360,19$47598"
Time Core,Worker Time,Worker Time@get Custom Organization 1 for Time Tracking(GRS)*P*S,26$44585,Flat Taggable@get Flat Taggable.tagged by index 01 Custom Organization(GR)(public),"207$17987,2663$37036"
Time Core,Worker Time,Worker Time@get Custom Organization 2 for Time Tracking(GRS)*P*S,26$44586,Flat Taggable@get Flat Taggable.tagged by index 02 Custom Organization(GR)(public),"207$17988,2663$37037"
Time Core,Worker Time,Worker Time@get Custom Organization 3 for Time Tracking(GRS)*P*S,26$44587,Flat Taggable@get Flat Taggable.tagged by index 03 Custom Organization(GR)(public),"207$17989,2663$37038"
Time Core,Worker Time,Worker Time@get Custom Organization 4 for Time Tracking(GRS)*P*S,26$44588,Flat Taggable@get Flat Taggable.tagged by index 04 Custom Organization(GR)(public),"207$17990,2663$37039"
Time Core,Worker Time,Worker Time@get Custom Organization 5 for Time Tracking(GRS)*P*S,26$44589,Flat Taggable@get Flat Taggable.tagged by index 05 Custom Organization(GR)(public),"2663$37040,207$17991"
Time Core,Worker Time,Worker Time@get Custom Organization 6 for Time Tracking(GRS)*P*S,26$44590,Flat Taggable@get Flat Taggable.tagged by index 06 Custom Organization(GR)(public),"2663$37041,207$17992"
Time Core,Worker Time,Worker Time@get Custom Organization 7 for Time Tracking(GRS)*P*S,26$44591,Flat Taggable@get Flat Taggable.tagged by index 07 Custom Organization(GR)(public),"2663$37042,207$17993"
Time Core,Worker Time,Worker Time@get Custom Organization 8 for Time Tracking(GRS)*P*S,26$44592,Flat Taggable@get Flat Taggable.tagged by index 08 Custom Organization(GR)(public),"2663$37043,207$17994"
Time Core,Worker Time,Worker Time@get Custom Organization 9 for Time Tracking(GRS)*P*S,26$44593,Flat Taggable@get Flat Taggable.tagged by index 09 Custom Organization(GR)(public),"2663$37044,207$17995"
Time Core,Worker Time,Worker Time@get Custom Organization 10 for Time Tracking(GRS)*P*S,26$44594,Flat Taggable@get Flat Taggable.tagged by index 10 Custom Organization(GR)(public),"2663$37045,207$17996"
Time Core,,(implements for Time Review Event) Event@get Workflow Definition Contexts for Workflow Definition Selection(GRS)*O,26$44621,"Position Element@get Effective Supervisory Organization(GSS)(public)[rsmb]

Time Review Event@get Time Review Event.for Position(GR)","19$2784,19$22727,65$2698,207$23310"
Time Core,Worker Time,Worker Time@get Employment for Worker Time parm(GRS)*P*S,26$45132,Worker Time@get Worker Time.for Employment(GR),"2663$37237,207$20588"
Time Core,Worker Time,Worker Time@get Project for Worker Time parm(GRS)*P*S,26$45135,Worker Time@get Worker Time.has time type Project(GR),"207$17571,2663$37049"
Time Core,Worker Time,Worker Time@get Project Plan Task for Worker Time parm(GRS)*P*S,26$45136,Worker Time@get Worker Time.has time type Project Plan Task(GR),"207$17573,2663$37048"
Time Core,Time Tracking API Parameter (Derived),Time Tracking API Parameter (Derived)@get Time Entry Template(GRS)*P*S,26$45155,Time Tracking API Parameter (Derived)@get Time Tracking API Parameter (Derived).has Time Entry Template(GR),207$21287
Time Core,Worker Time,Worker Time@get Location for Worker Time(GRS)*P*S,26$45401,Flat Taggable@get Flat Taggable.tagged by Location(GR)(public),"207$17925,2663$37019"
Time Core,,(implements for Worker Time Block) Worker Time@ Icon Class For Mobile Time Clock Event(GRS)*O,26$45549,"Time Clock Event@get Icon Class For Mobile Time Clock Event(SS)[rsmb]

Worker Time Block@get In Time Clock Event(SS)[rsmb]","19$58864,19$59081"
Time Core,Time Review Event,Time Review Event@get Worker For Time Tracking Secured(GRS)*P*S,26$46245,Worker Event@get Worker Event.applies to Worker(GR)(public)*O,"2663$13793,207$645,19$4537,19$62365,19$12141"
Time Core,Worker Time,Worker Time@get Location for Time Tracking(GRS)*S,26$46292,"Flat Taggable@get Flat Taggable.tagged by Location(GR)(public)

Time Clock Event@get Most Recent Check In Clock Event (in past 24 hours) for Worker and Start Date(SS)*P*S[rsmb]+PA","92$897,207$17925,26$44327,19$60135,26$44328,66$5259,66$5324,66$2992,19$1330,19$50997,52$13048,26$45401,2663$37019,19$57243"
Time Core,Worker Time,Worker Time@get Time Tracking Unit for Time Entry Code(GRS),26$47998,"Time Entry Code@get Time Entry Code.has Time Tracking Unit(GR)*O

Worker Time@get Time Entry Code(GR)","207$17186,207$17572,13039$4906"
Time Core,Position,Position@get Position from Time Offs or else Primary Position(GRS)*P*S,26$50730,Common Instance Set@get Set A or Set B if Set A is empty(SS)*P*S(public)[rsmb]+PA,"52$22465,92$898,19$16631,26$43867,26$29340"
Time Core,Worker Time,Worker Time@get Worker Time Source for Worker Time parm(GRS)*P*S,26$51456,Worker Time@get Worker Time.has Worker Time Source(GR),"2663$37236,207$28821"
Time Core,Worker Time Block,Worker Time Block@get Calculated Time Block Status is Adjusted(GRS)*P*S,26$51457,Worker Time Block@get Worker Time Block.adjusted Worker Time Source(GR),207$28822
Time Core,Accounting Worktag Type,Accounting Worktag Type@get Worktag Types for Grouped Worktags from Request(GRS)*P*S,26$51525,"Accounting Worktag@get Accounting Worktag Type for Accounting Worktag(GSS)*(abstract)[rsmb]

Audited Accounting Worktag@get Grouped Worktags From Request(SS)*P*S[rsmb]","19$54792,19$129545,40$11786,19$112396,19$143119,19$108049,19$57878,40$2838,40$8982,19$57879,40$2839,19$57880,40$2840,19$57881,65$15385,19$57882,19$57883,40$2843,19$57884,19$57885,19$57886,19$57887,19$57888,19$57889,19$57890,19$57891,19$57892,19$114730,19$114731,40$2860,19$114732,40$2861,40$4655,40$2864,40$2865,40$2867,19$46388,40$2868,40$2871,40$2873,19$43835,40$15164,40$30524,40$15165,40$2878,65$12094,40$2879,19$88129,40$2881,40$2882,19$66626,40$2883,40$2884,19$133701,40$2886,40$2887,40$2888,40$2889,19$98378,19$109387,19$82511,19$109391,40$31312,19$136528,19$82512,19$82513,19$82514,19$82515,19$82516,40$3412,40$3413,19$21589,19$82517,19$82518,19$21590,19$92247,19$82519,19$82520,19$82521,19$33369,19$119386,19$112475,19$104797,19$133215,40$31586,19$32610,19$32612,19$105574,19$43628,19$73325,19$57965,65$8558,19$105582,19$49520,65$2163,19$124280,19$42363,40$8574,19$124032,19$43652,19$37254,19$127641,19$82332,19$127133,19$79267,19$110757,19$70826,2663$6327,19$122807,19$118713,19$136379,19$94146,40$5320,19$63185,40$10709,40$42709,19$127960,19$94938,19$126171,19$112349,19$126174,19$98018,65$9955,40$6892,40$6893,19$43757,40$6894,19$35567,65$16626,19$127987,19$77821,19$77823"
Time Core,Time Off Entry,Time Off Entry@get In/Out TETO Time Off Entries API(GRS)*P*S,26$52852,"Time Off Entry@get In/Out TETO Original Time Off Entries(SS)*P*S[rsmb]

Time Off Entry@get Latest In/Out Time Off Entry out of Time Off Entry parm and Corrected Time Off Entries of the parm(SS)*P*S(public)[rsmb]+PA","65$3,19$67909,19$68379"
Time Core,Time Review Event,Time Review Event@get Project for Time Review Event parm(GRS)*P*S,26$54718,Time Review Event@get Time Review Event.for Project(GR),207$31346
Time Core,Worker Time,Worker Time@get Worker Document for Time Tracking(GRS)*P*S,26$55920,Worker Time@get Worker Time.has Worker Document(GR),"207$31397,2663$37046"
Time Core,Time Off Entry,Time Off Entry@get Time Off Entry Adjustments(GRS)*P*S,26$56142,"Time Off Calendar Data@get Original Time Off Entries Not Corrected to Zero ONLY for Time Off Entry Selections parm(SS)*P*S(public)[rsmb]+PA

Time Off Entry@get Time Off Adjust Entries for Time Off Entry In Progress or Completed and not Saved for Later(SS)(public)[rsmb]","19$50375,19$87726"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@get Position from Worker Coordinated Time Block(GRS)*P*S,26$58352,Worker Coordinated Time Block@get Position for Worker Time Block or Time Off Entry(SS)[rsmb],19$76374
Time Core,Worker Time Block,Worker Time Block@get Original Time Clock Events(GRS)*P*S,26$63521,Worker Time Block@get Worker Time Block.uses Time Clock Event(GR),207$23446
Time Core,Earning (All),Earning (All)@get Time Calculation Tag Interface Selection thru Snapshot for Effective Moment Parm(GRS)*P*S,26$64358,Earning (All)@get Time Calculation Tag from Interface thru Snapshot for Effective Moment Parm (for Payroll and Payroll Interface)(SS)*P(public)[rsmb],19$83834
Time Core,Worker Time,Worker Time@get has Billing Recommendation(GRS)*P*S,26$65945,Worker Time@get Worker Time.has billing recommendation Time Tracking Set Up Option(GR),"2663$37047,207$38399"
Time Core,,(implements for Billable Time Block) Billable Transaction@get Project Phase Referenced by Project Plan Phase on Time Card Line(GRS)*O,26$66653,"Project API@get Project Plan Phase from Worker Time Block Project Plan Task(SS)*P*S(public)[rsmb]+PA

Project Plan Phase@get Project Plan Phase.refer to Project Phase(GR)(public)","19$82483,207$10054,19$103097"
Time Core,Time Off Entry,Time Off Entry@get In/Out Time Off Entries from Time Off Entry Selections parm(GRS)*P*S,26$67933,"Time Off Entry@get In/Out TETO Original Time Off Entries from Time Off Entry Selections parm(SS)*P*S[rsmb]

Time Off Entry@get Latest In/Out Time Off Entry out of Time Off Entry parm and Corrected Time Off Entries of the parm(SS)*P*S(public)[rsmb]+PA","65$3,19$67909,19$89021"
Time Core,Time Tracking API Parameter (Derived),Time Tracking API Parameter (Derived)@get Reported Worker Time Blocks for Week for Derived Parameter(GRS)*P*S,26$69339,Time Tracking API Parameter (Derived)@get Time Tracking API Parameter (Derived).has week Reported Worker Time Block(GR),207$40513
Time Core,Time Tracking API Parameter (Derived),Time Tracking API Parameter (Derived)@get TETO Time Off Entries for Calculations from parameter(GRS)*P*S,26$69340,Time Tracking API Parameter (Derived)@get Time Tracking API Parameter (Derived).has week TETO Time Off Entry(GR),207$40508
Time Core,Time Tracking API Parameter (Derived),Time Tracking API Parameter (Derived)@get Calculated Worker Time Blocks for Week for Derived Parameter(GRS)*P*S,26$69341,Time Tracking API Parameter (Derived)@get Time Tracking API Parameter (Derived).has week Calculated Worker Time Block(GR),207$40512
Time Core,Time Tracking API Parameter (Derived),Time Tracking API Parameter (Derived)@get TOTO Time Off Entries for Calculations from parameter(GRS)*P*S,26$69832,Time Tracking API Parameter (Derived)@get Time Tracking API Parameter (Derived).has week TOTO Time Off Entry(GR),207$40510
Time Core,Worker Time Block,Worker Time Block@get Worker Time Block has Event Record with Event Record Action of Sent Back(GRS)*P*S,26$69942,Event@get Event Record Most Recent Completed with Event Record Action Status from Event(SS)*P[rsmb]+PA,"19$84948,40$620"
Time Core,Time Review Event,Time Review Event@get Supervisory Org for Position On TRE(GRS),26$70093,"Position Element@get Effective Supervisory Organization(GSS)(public)[rsmb]

Time Review Event@get Time Review Event.for Position(GR)","19$2784,19$22727,65$2698,207$23310"
Time Core,Time Review Event,Time Review Event@get Supervisory Orgs for Worker on TRE(GRS),26$70094,"Position Element@get Effective Supervisory Organization for Position Element parm(GRS)*P*S(public)[rsmb]+PA

Worker@get Supervisory Organizations for Worker(GRS)*P*S(public)[rsmb]+PA

Worker Event@get Worker Event.applies to Worker(GR)(public)*O","2663$13793,65$3,207$645,19$4537,26$18778,19$62365,19$12141,26$19838,26$20207"
Time Core,Worker Time Block,Worker Time Block@get Time Off Entry Selections (submittable) from Worker Time Weeks parm for Period(GRS)*P*S,26$70491,"Derived_WTBV@get Derived_WTBV.has submittable Time Off Entry(GR)

Worker Time Week (Derived)@get Worker Time Weeks for Period parm(SS)*P*S[rsmb]","19$92008,207$38013"
Time Core,Worker Time Block,Worker Time Block@get WTB orig from WTB orig from WTB (2 hops)(GRS),26$71025,Worker Time Block@get Worker Time Block.originates from Worker Time Block(GR),"2663$37009,207$17594"
Time Core,Worker Time Block,Worker Time Block@get Worker Time Block participates in approval for Time Review Event(GRS)*P*S,26$71164,Worker Time Block@get Worker Time Block.participates in approval for Time Review Event(GR),207$21124
